Frequency, Hz	Amplitude, dBm
1.420360000E+9	-8.274786000E+1
1.420363333E+9	-8.278586000E+1
1.420366667E+9	-8.263446000E+1
1.420370000E+9	-8.270633000E+1
1.420373333E+9	-8.293108000E+1
1.420376667E+9	-8.276468000E+1
1.420380000E+9	-8.283091000E+1
1.420383333E+9	-8.274216000E+1
1.420386667E+9	-8.271432000E+1
1.420390000E+9	-8.284280000E+1
1.420393333E+9	-8.274825000E+1
1.420396667E+9	-8.273638000E+1
1.420400000E+9	-8.286395000E+1
1.420403333E+9	-8.287140000E+1
1.420406667E+9	-8.293392000E+1
1.420410000E+9	-8.284069000E+1
1.420413333E+9	-8.278751000E+1
1.420416667E+9	-8.296323000E+1
1.420420000E+9	-8.297108000E+1
1.420423333E+9	-8.287531000E+1
1.420426667E+9	-8.299603000E+1
1.420430000E+9	-8.290679000E+1
1.420433333E+9	-8.290852000E+1
1.420436667E+9	-8.300043000E+1
1.420440000E+9	-8.298221000E+1
1.420443333E+9	-8.296022000E+1
1.420446667E+9	-8.298075000E+1
1.420450000E+9	-8.288986000E+1
1.420453333E+9	-8.300616000E+1
1.420456667E+9	-8.301223000E+1
1.420460000E+9	-8.290893000E+1
1.420463333E+9	-8.305517000E+1
1.420466667E+9	-8.306246000E+1
1.420470000E+9	-8.315512000E+1
1.420473333E+9	-8.320605000E+1
1.420476667E+9	-8.310645000E+1
1.420480000E+9	-8.300730000E+1
1.420483333E+9	-8.304644000E+1
1.420486667E+9	-8.315123000E+1
1.420490000E+9	-8.312200000E+1
1.420493333E+9	-8.317045000E+1
1.420496667E+9	-8.292068000E+1
1.420500000E+9	-8.308672000E+1
1.420503333E+9	-8.310423000E+1
1.420506667E+9	-8.305086000E+1
1.420510000E+9	-8.319582000E+1
1.420513333E+9	-8.314745000E+1
1.420516667E+9	-8.320769000E+1
1.420520000E+9	-8.313762000E+1
1.420523333E+9	-8.326582000E+1
1.420526667E+9	-8.313795000E+1
1.420530000E+9	-8.321629000E+1
1.420533333E+9	-8.307539000E+1
1.420536667E+9	-8.306665000E+1
1.420540000E+9	-8.315271000E+1
1.420543333E+9	-8.318278000E+1
1.420546667E+9	-8.318014000E+1
1.420550000E+9	-8.308707000E+1
1.420553333E+9	-8.307134000E+1
1.420556667E+9	-8.315925000E+1
1.420560000E+9	-8.320646000E+1
1.420563333E+9	-8.319813000E+1
1.420566667E+9	-8.320258000E+1
1.420570000E+9	-8.307432000E+1
1.420573333E+9	-8.308779000E+1
1.420576667E+9	-8.312983000E+1
1.420580000E+9	-8.312223000E+1
1.420583333E+9	-8.313154000E+1
1.420586667E+9	-8.327570000E+1
1.420590000E+9	-8.284763000E+1
1.420593333E+9	-8.307821000E+1
1.420596667E+9	-8.327324000E+1
1.420600000E+9	-8.316230000E+1
1.420603333E+9	-8.280710000E+1
1.420606667E+9	-8.283068000E+1
1.420610000E+9	-8.292575000E+1
1.420613333E+9	-8.320064000E+1
1.420616667E+9	-8.311958000E+1
1.420620000E+9	-8.318873000E+1
1.420623333E+9	-8.307677000E+1
1.420626667E+9	-8.272578000E+1
1.420630000E+9	-8.313278000E+1
1.420633333E+9	-8.323090000E+1
1.420636667E+9	-8.296358000E+1
1.420640000E+9	-8.297014000E+1
1.420643333E+9	-8.320676000E+1
1.420646667E+9	-8.279627000E+1
1.420650000E+9	-8.320620000E+1
1.420653333E+9	-8.326448000E+1
1.420656667E+9	-8.331453000E+1
1.420660000E+9	-8.312163000E+1
1.420663333E+9	-8.315669000E+1
1.420666667E+9	-8.321017000E+1
1.420670000E+9	-8.342825000E+1
1.420673333E+9	-8.318083000E+1
1.420676667E+9	-8.326526000E+1
1.420680000E+9	-8.309160000E+1
1.420683333E+9	-8.315960000E+1
1.420686667E+9	-8.317150000E+1
1.420690000E+9	-8.322816000E+1
1.420693333E+9	-8.328997000E+1
1.420696667E+9	-8.299402000E+1
1.420700000E+9	-8.315589000E+1
1.420703333E+9	-8.319540000E+1
1.420706667E+9	-8.326559000E+1
1.420710000E+9	-8.324572000E+1
1.420713333E+9	-8.320277000E+1
1.420716667E+9	-8.320721000E+1
1.420720000E+9	-8.306974000E+1
1.420723333E+9	-8.313692000E+1
1.420726667E+9	-8.330000000E+1
1.420730000E+9	-8.305328000E+1
1.420733333E+9	-8.329603000E+1
1.420736667E+9	-8.330748000E+1
1.420740000E+9	-8.322700000E+1
1.420743333E+9	-8.312664000E+1
1.420746667E+9	-8.315657000E+1
1.420750000E+9	-8.314739000E+1
1.420753333E+9	-8.333260000E+1
1.420756667E+9	-8.310892000E+1
1.420760000E+9	-8.275139000E+1
1.420763333E+9	-8.315424000E+1
